,,,,,Games,,Rushing,,,,,,,Receiving,,,,,,,,,,,
Rk,Name,Tm,Age,Pos,G,GS,*Att,*Yds,TD,Lng,Y/A,Y/G,A/G,Tgt,*Rec,Yds,Y/R,TD,Lng,R/G,Y/G,Ctch%,YScm,RRTD,Fmb
148,Mike Davis,2TM,25,,11,1,6,18,0,13,3,1.6,0.5,2,2,41,20.5,0,21,0.2,3.7,100.00%,59,0,0
149,C.J. Ham,MIN,24,,11,0,6,12,1,3,2,1.1,0.5,4,3,35,11.7,0,12,0.3,3.2,75.00%,47,1,0
150,Kyle Juszczyk,SFO,26,FB,9,6,6,28,0,12,4.7,3.1,0.7,22,16,120,7.5,1,34,1.8,13.3,72.70%,148,1,2
151,Raheem Mostert,SFO,25,,11,0,6,30,0,16,5,2.7,0.5,,,,,,,,,,30,0,1
152,Brock Osweiler,DEN,27,qb,4,3,6,22,0,12,3.7,5.5,1.5,,,,,,,,,,22,0,1
153,Drew Stanton,ARI,33,qb,3,2,6,7,0,5,1.2,2.3,2,,,,,,,,,,7,0,1
154,Taywan Taylor,TEN,22,wr,11,3,6,30,0,17,5,2.7,0.5,24,14,216,15.4,1,53,1.3,19.6,58.30%,246,1,0
155,Danny Woodhead,BAL,32,,3,0,6,28,0,10,4.7,9.3,2,13,12,77,6.4,0,13,4,25.7,92.30%,105,0,0
156,Martavis Bryant,PIT,26,wr,10,5,5,14,0,13,2.8,1.4,0.5,51,27,346,12.8,2,51,2.7,34.6,52.90%,360,2,0
157,Lance Dunbar,LAR,27,,2,0,5,31,0,12,6.2,15.5,2.5,1,0,0,,0,0,0,0,0.00%,31,0,0
158,Alex Erickson,CIN,25,,11,0,5,16,0,14,3.2,1.5,0.5,13,10,160,16,1,37,0.9,14.5,76.90%,176,1,4
159,Ted Ginn,NOR,32,WR,11,7,5,20,0,15,4,1.8,0.5,54,42,641,15.3,3,53,3.8,58.3,77.80%,661,3,2
160,Brian Hoyer,2TM,32,,8,6,5,7,1,9,1.4,0.9,0.6,,,,,,,,,,7,1,3
161,Adoree' Jackson,TEN,22,CB,11,11,5,55,0,20,11,5,0.5,,,,,,,,,,55,0,0
162,Matt Jones,IND,24,,3,0,5,14,0,5,2.8,4.7,1.7,,,,,,,,,,14,0,0
163,Sean Mannion,LAR,25,,3,0,5,-9,0,-1,-1.8,-3,1.7,,,,,,,,,,-9,0,0
164,Byron Marshall,WAS,23,,2,0,5,20,0,11,4,10,2.5,2,1,12,12,0,12,0.5,6,50.00%,32,0,0
165,Aaron Ripkowski,GNB,25,,11,0,5,13,0,4,2.6,1.2,0.5,7,6,35,5.8,0,12,0.5,3.2,85.70%,48,0,0
166,Golden Tate,DET,29,WR,11,10,5,22,0,10,4.4,2,0.5,83,63,698,11.1,3,45,5.7,63.5,75.90%,720,3,1
167,Terrell Watson,PIT,24,,10,0,5,8,0,3,1.6,0.8,0.5,,,,,,,,,,8,0,0
168,Michael Campanaro,BAL,26,,8,0,4,33,0,19,8.3,4.1,0.5,17,12,91,7.6,0,18,1.5,11.4,70.60%,124,0,2
169,Brandin Cooks,NWE,24,WR,11,10,4,21,0,13,5.3,1.9,0.4,81,51,869,17,5,64,4.6,79,63.00%,890,5,0
170,Matthew Dayes,CLE,23,,11,0,4,9,0,3,2.3,0.8,0.4,5,4,29,7.3,0,15,0.4,2.6,80.00%,38,0,0
171,Stefon Diggs,MIN,24,WR,9,9,4,6,0,9,1.5,0.7,0.4,60,40,598,15,5,59,4.4,66.4,66.70%,604,5,0
172,Tyler Ervin,HOU,24,,4,0,4,12,0,6,3,3,1,11,8,38,4.8,0,7,2,9.5,72.70%,50,0,0
173,David Fluellen,TEN,25,,11,0,4,21,0,10,5.3,1.9,0.4,,,,,,,,,,21,0,0
174,Taylor Gabriel,ATL,26,wr,11,4,4,20,0,15,5,1.8,0.4,41,28,326,11.6,1,40,2.5,29.6,68.30%,346,1,0
175,Mike Glennon,CHI,28,qb,5,4,4,4,0,2,1,0.8,0.8,,,,,,,,,,4,0,5
176,Andy Janovich,DEN,24,fb,11,4,4,12,0,4,3,1.1,0.4,4,2,14,7,0,10,0.2,1.3,50.00%,26,0,0
177,Zach Line,NOR,27,fb,7,3,4,15,0,9,3.8,2.1,0.6,2,0,0,,0,0,0,0,0.00%,15,0,0
178,Ryan Mallett,BAL,29,,2,0,4,-3,0,0,-0.8,-1.5,2,,,,,,,,,,-3,0,1
179,Curtis Samuel,CAR,21,rb/wr,9,4,4,64,0,31,16,7.1,0.4,26,15,115,7.7,0,23,1.7,12.8,57.70%,179,0,0
180,ArDarius Stewart,NYJ,24,wr,10,1,4,22,0,11,5.5,2.2,0.4,9,5,36,7.2,0,24,0.5,3.6,55.60%,58,0,0
181,Ryan Switzer,DAL,23,,11,0,4,5,0,3,1.3,0.5,0.4,2,2,9,4.5,0,7,0.2,0.8,100.00%,14,0,1
182,Fozzy Whittaker,CAR,28,,7,0,4,10,0,8,2.5,1.4,0.6,3,3,34,11.3,1,28,0.4,4.9,100.00%,44,1,0
183,Tommy Bohanon,JAX,27,FB,11,7,3,3,0,3,1,0.3,0.3,11,6,43,7.2,1,14,0.5,3.9,54.50%,46,1,0
184,Kellen Clemens,LAC,34,,3,0,3,-3,0,-1,-1,-1,1,,,,,,,,,,-3,0,0
185,Chase Daniel,NOR,31,,1,0,3,-2,0,0,-0.7,-2,3,,,,,,,,,,-2,0,0
186,Bruce Ellington,HOU,26,wr,10,5,3,17,0,13,5.7,1.7,0.3,55,28,323,11.5,2,35,2.8,32.3,50.90%,340,2,1
187,Chad Henne,JAX,32,,1,0,3,-3,0,-1,-1,-3,3,,,,,,,,,,-3,0,0
188,Chris Hogan,NWE,29,WR,8,7,3,17,0,13,5.7,2.1,0.4,54,33,438,13.3,5,47,4.1,54.8,61.10%,455,5,0
189,Akeem Hunt,KAN,24,,10,0,3,-4,0,3,-1.3,-0.4,0.3,4,2,7,3.5,0,6,0.2,0.7,50.00%,3,0,0
190,Landry Jones,PIT,28,,1,0,3,-3,0,-1,-1,-3,3,,,,,,,,,,-3,0,0
191,Devante Mays,GNB,23,,4,0,3,-1,0,2,-0.3,-0.3,0.8,,,,,,,,,,-1,0,2
192,Matt Moore,MIA,33,qb,4,2,3,9,0,7,3,2.3,0.8,,,,,,,,,,9,0,0
193,Bernard Reedy,TAM,26,,9,0,3,17,0,10,5.7,1.9,0.3,2,2,21,10.5,0,15,0.2,2.3,100.00%,38,0,1
194,Tom Savage,HOU,27,qb,6,5,3,3,0,3,1,0.5,0.5,,,,,,,,,,3,0,8
195,Sterling Shepard,NYG,23,WR,7,6,3,13,0,12,4.3,1.9,0.4,51,38,475,12.5,1,77,5.4,67.9,74.50%,488,1,1
196,Derek Watt,LAC,25,fb,11,3,3,17,0,17,5.7,1.5,0.3,2,1,12,12,0,12,0.1,1.1,50.00%,29,0,0
197,Albert Wilson,KAN,25,wr,8,3,3,6,0,6,2,0.8,0.4,29,20,257,12.9,3,63,2.5,32.1,69.00%,263,3,0
198,Jamal Agnew,DET,22,,10,0,2,9,0,5,4.5,0.9,0.2,1,1,12,12,0,12,0.1,1.2,100.00%,21,0,2
199,Keenan Allen,LAC,25,WR,11,11,2,9,0,6,4.5,0.8,0.2,107,67,927,13.8,4,50,6.1,84.3,62.60%,936,4,0
