Position,Name,Salary,GameInfo,AvgPointsPerGame,teamAbbrev
WR,John Brown,3300,LAR@ARI 12/03/2017 04:25PM ET,7.388,ARI
WR,Taylor Gabriel,3200,MIN@ATL 12/03/2017 01:00PM ET,6.236,ATL
WR,TJ Jones,3200,DET@BAL 12/03/2017 01:00PM ET,5.518,DET
RB,Terrance West,3200,DET@BAL 12/03/2017 01:00PM ET,5.82,BAL
WR,Russell Shepard,3200,CAR@NO 12/03/2017 04:25PM ET,3.491,CAR
DST,Chiefs ,3200,KC@NYJ 12/03/2017 01:00PM ET,7.182,KC
TE,Ricky Seals-Jones,3200,LAR@ARI 12/03/2017 04:25PM ET,7.52,ARI
TE,Benjamin Watson,3100,DET@BAL 12/03/2017 01:00PM ET,7.845,BAL
DST,Ravens ,3100,DET@BAL 12/03/2017 01:00PM ET,13.091,BAL
WR,Adam Humphries,3100,TB@GB 12/03/2017 01:00PM ET,6.882,TB
DST,Buccaneers ,3100,TB@GB 12/03/2017 01:00PM ET,7.091,TB
RB,Cameron Artis-Payne,3100,CAR@NO 12/03/2017 04:25PM ET,1.888,CAR
WR,J.J. Nelson,3100,LAR@ARI 12/03/2017 04:25PM ET,7.018,ARI
DST,Raiders ,3100,NYG@OAK 12/03/2017 04:25PM ET,3.182,OAK
WR,Roger Lewis,3100,NYG@OAK 12/03/2017 04:25PM ET,5.155,NYG
WR,Tavarres King,3100,NYG@OAK 12/03/2017 04:25PM ET,5.5,NYG
RB,Terrence Magee,3000,MIN@ATL 12/03/2017 01:00PM ET,0,ATL
RB,Derrick Coleman,3000,MIN@ATL 12/03/2017 01:00PM ET,0.436,ATL
WR,Marvin Hall,3000,MIN@ATL 12/03/2017 01:00PM ET,2.75,ATL
WR,Nick Williams,3000,MIN@ATL 12/03/2017 01:00PM ET,6,ATL
WR,Justin Hardy,3000,MIN@ATL 12/03/2017 01:00PM ET,3.782,ATL
WR,Andre Roberts,3000,MIN@ATL 12/03/2017 01:00PM ET,0.109,ATL
RB,Mack Brown,3000,MIN@ATL 12/03/2017 01:00PM ET,1.667,MIN
RB,C.J. Ham,3000,MIN@ATL 12/03/2017 01:00PM ET,1.245,MIN
WR,Stacy Coley,3000,MIN@ATL 12/03/2017 01:00PM ET,0,MIN
WR,Laquon Treadwell,3000,MIN@ATL 12/03/2017 01:00PM ET,2.655,MIN
WR,Michael Floyd,3000,MIN@ATL 12/03/2017 01:00PM ET,1.917,MIN
